,tweets,len,ID,Date,Source,Likes,RTs
528,"दिल्ली सरकार चलाने वालों के नाकामपंथी मॉडल ने दिल्ली में न सिर्फ अराजकता फैलाई, बल्कि लोगों के साथ विश्वासघात भी कि… https://t.co/YbZ4f1BVln",140,1.1263E+18,09-05-19 1:40,Twitter Media Studio,19683,5507
529,Delhi is known for it’s welcoming nature. People from all regions and religions live in harmony. This is the spirit… https://t.co/9wHFzTwXBc,140,1.1263E+18,09-05-19 1:40,Twitter Media Studio,7386,2111
530,"Delhi’s iconic Ramlila Maidan was brimming with enthusiasm at the BJP rally last evening. 

Spoke at length about o… https://t.co/mBzpdKR5se",140,1.1263E+18,09-05-19 1:38,Twitter for iPhone,9637,2414
531,Watch my interview with @abpnewstv from the campaign trail in Fatehabad. https://t.co/gkKXSIc2BG,96,1.12615E+18,08-05-19 15:42,Periscope,10369,3234
532,"Ever imagined that a premier warship of the Indian armed forces could be used as a taxi for a personal holiday?

On… https://t.co/50DhIVwVfM",140,1.12615E+18,08-05-19 15:28,Twitter for Android,44320,20008
533,Do watch! https://t.co/aA22QQoTQO,33,1.12614E+18,08-05-19 15:00,Twitter for iPhone,12529,3143
534,"RT @vikasbha: देश को अब प्रेम करने वालो की ज़रूरत है, परिवार भक्ति करने वाले बहूत देख लिए, पुत्र प्रेम करने वाले बहूत राजनीतिक दल देख लिए अ…",140,1.12614E+18,08-05-19 14:59,Twitter for iPhone,0,2070
535,Bond between Delhi &amp; BJP is strong. We will keep working for Delhi’s welfare. Live from Ramlila Maidan. https://t.co/DkcP2ap4kP,131,1.12613E+18,08-05-19 14:06,Periscope,11523,3516
536,"Delhi has always given great love and affection to BJP. In a short while from now, will be addressing a rally at th… https://t.co/TEfI6uVQox",140,1.12612E+18,08-05-19 13:41,Twitter for iPhone,21386,4440
537,Some more glimpses from the rallies in Haryana today. https://t.co/6YefRQvwWK,77,1.12609E+18,08-05-19 11:58,Twitter Web Client,9578,2303
538,"कांग्रेस की प्रेम की डिक्शनरी…

क्या-क्या नहीं कहा मुझे, मेरे परिवार को, मेरी गरीबी को!

जनता सब देख रही है, सुन र… https://t.co/zm5U59SiMS",139,1.12609E+18,08-05-19 11:56,Twitter Web Client,26219,6852
539,"हरियाणा के कुछ नेता सर छोटूराम को बदनाम कर रहे हैं। 

हरियाणा ऐसे नेताओं और उनकी पार्टियों को सजा देने वाला है।… https://t.co/L66Gd7Z5qJ",136,1.12609E+18,08-05-19 11:56,Twitter Media Studio,14257,3624
540,"हरियाणा का शायद ही कोई ऐसा घर है, जो अपने बच्चों को देश की सेवा के लिए न भेजता हो। 

यही वजह है कि सशस्त्र बलों का… https://t.co/eUvvGWHVX1",139,1.12609E+18,08-05-19 11:55,Twitter Media Studio,10301,2873
541,"Today’s rallies in Fatehabad and Kurukshetra illustrate the enormous wave in favour of BJP across Haryana. 

People… https://t.co/z9wf2081bt",140,1.12609E+18,08-05-19 11:55,Twitter Web Client,7085,2041
542,"On the sidelines of the Kurukshetra rally, spoke to @TimesNow. Do watch! https://t.co/iNjVbFgsUe",96,1.12609E+18,08-05-19 11:31,Periscope,9180,3058
543,"सरकार बहुमत से चलती है लेकिन देश सहमति से चलता है। 

नवभारत टाइम्स को दिए इंटरव्यू में मैंने सरकार के कामकाज और चु… https://t.co/JzDGtXIlXQ",139,1.12608E+18,08-05-19 11:14,Twitter Web Client,16532,4138
544,BJP’s good governance agenda will defeat negativity of Congress. Watch from Kurukshetra. https://t.co/BYHe0ubmiF,112,1.12605E+18,08-05-19 8:55,Periscope,11443,3112
545,"In Haryana, BJP’s agenda is development. Others prefer casteism and corruption. Watch from Fatehabad. https://t.co/QsdkyzRWWw",125,1.12601E+18,08-05-19 6:34,Periscope,14405,3709
546,Nothing is as satisfying as transforming people’s lives. You’ll be happy to watch this from Jayapur in my parliamen… https://t.co/266cTmPA0T,140,1.12598E+18,08-05-19 4:19,Twitter for iPhone,25554,5761
547,"Leadership of @POTUS towards enhancing India-US strategic partnership is invaluable. 

India is committed to workin… https://t.co/DXt3mhneoX",140,1.12578E+18,07-05-19 15:19,Twitter Web Client,26845,4495
548,"Had a wonderful meeting with U.S. Secretary of Commerce @SecretaryRoss. 

It is a matter of great joy that the larg… https://t.co/3E05BuSfFy",140,1.12578E+18,07-05-19 15:19,Twitter Web Client,38048,6260
549,Paying homage to the venerable Bhagwan Basaveshwara on his Jayanti. An iconic thinker and pioneering social reforme… https://t.co/GqB4gPxJrB,140,1.12561E+18,07-05-19 4:11,Twitter for iPhone,23334,4826
550,Greetings on the special occasion of Parshuram Jayanti. Bhagwan Parshuram personifies bravery and honesty. May the… https://t.co/iIpPhdzdTj,139,1.12561E+18,07-05-19 4:08,Twitter for iPhone,28252,6037
551,आप सभी को पावन पर्व अक्षय तृतीया की हार्दिक शुभकामनाएं।,55,1.12561E+18,07-05-19 4:07,Twitter for iPhone,72327,10834
552,"Greetings on the start of the holy month of Ramzan. May this auspicious month further the spirit of harmony, happin… https://t.co/eTl7P6z3xV",140,1.12543E+18,06-05-19 16:15,Twitter for iPhone,41123,6621
553,"Whenever I come to West Bengal, TMC and especially Speed Breaker Didi get restless. Their numbers won't even touch… https://t.co/PGIpbrxhug",139,1.12543E+18,06-05-19 15:45,Twitter Web Client,14960,4059
554,"Welfare of the people is supreme! 

A few days back, when parts of West Bengal were affected by a cyclone, I called… https://t.co/7ksvYN1eBQ",140,1.12543E+18,06-05-19 15:42,Twitter Media Studio,13660,3933
555,The curious case of Triple T and how it is ruining West Bengal. https://t.co/URQuBCL5VS,87,1.12543E+18,06-05-19 15:41,Twitter Media Studio,9784,2855
556,"Began my rally in Jhargram, West Bengal by saying 'Jai Shri Ram' to the wonderful people of Bengal. 

Also said 'Ja… https://t.co/h2hyFvit3U",140,1.12543E+18,06-05-19 15:41,Twitter Media Studio,16117,4889
557,"My one comment on the corruption of a former PM has riled the Congress eco-system so much but constant, below the b… https://t.co/p1frvbqKED",140,1.12543E+18,06-05-19 15:40,Twitter Media Studio,34360,11076
558,"My open challenge to Congress.

Fight elections in the name of the former PM associated with Bofors in:

Delhi and… https://t.co/qt0Op5dLQI",139,1.12542E+18,06-05-19 15:39,Twitter Media Studio,38003,13171
559,"Spectacular sights from Chaibasa.

True to its style, Congress is relying on a corrupt dynasty to win this seat. Sa… https://t.co/SUQSQq2YWC",140,1.12542E+18,06-05-19 15:34,Twitter for iPhone,9034,2320
560,BJP has always worked for the tribal communities. Sharing my speech from Chaibasa. https://t.co/vfCeM067JK,106,1.12536E+18,06-05-19 11:13,Periscope,11867,3117
561,Seamless co-ordination between the Centre and Odisha Government augured well in the run up to Cyclone Fani and in h… https://t.co/X9uwNihT6b,140,1.12534E+18,06-05-19 10:17,Twitter Web Client,15779,3726
562,"I salute the courage and compassion of the people of Odisha, especially fishermen and those living in coastal areas… https://t.co/t26CuWB35m",140,1.12534E+18,06-05-19 10:16,Twitter Web Client,20941,4333
563,"All possible steps would be taken to repair the damage in infrastructure, power lines, farms among other areas. Hav… https://t.co/oTt0oaRqsi",140,1.12534E+18,06-05-19 10:15,Twitter Web Client,12418,3020
564,"Took stock of the situation in Odisha. 

Reviewed relief and rehabilitation operations that are underway. Announced… https://t.co/8OTNoYtdLw",140,1.12534E+18,06-05-19 10:13,Twitter Web Client,12330,2938
565,Proud of my young friends who have successfully cleared the CBSE Class X examinations. Wishing them the very best f… https://t.co/rt3xuqwsFb,140,1.12534E+18,06-05-19 10:01,Twitter Web Client,38367,5887
566,West Bengal has rejected speed breaker Didi. Watch from Jhargram. https://t.co/04Zt39WmKr,89,1.12533E+18,06-05-19 9:09,Periscope,11000,3127
567,Great euphoria at Tamluk. Watch my speech. https://t.co/NKtL1Kvzr2,66,1.1253E+18,06-05-19 7:26,Periscope,12040,3021
568,India stands in solidarity with the people of Odisha. https://t.co/rP7P4U7EEs,77,1.12528E+18,06-05-19 6:18,Periscope,20586,5335
569,"Requesting all those voting in today’s fifth phase of the 2019 Lok Sabha elections to do so in large numbers. 

A v… https://t.co/frBsnRAtK3",140,1.12521E+18,06-05-19 1:18,Twitter for iPhone,53367,10551
570,"Will be in Odisha tomorrow morning, where I will review the situation due to Cyclone Fani and hold meetings with to… https://t.co/mQX8dIn6DW",140,1.12508E+18,05-05-19 16:43,Twitter for iPhone,24870,5120
571,"The campaign took me to Madhya Pradesh today. 

Saw great support in Sagar and Gwalior. 

Highlighted a variety of… https://t.co/81AYAbvXTy",139,1.12507E+18,05-05-19 16:15,Twitter Web Client,10883,2913
572,"Heard of a company called Backops? 

Who is the ‘entrepreneur’ associated with it? 

Why were partners of this ‘ent… https://t.co/ijQ25LRkm8",140,1.12507E+18,05-05-19 16:12,Twitter Media Studio,19642,6720
573,"महामिलावटी कहते हैं मोदी हटाओ, लेकिन जनता कहती है- फिर एक बार मोदी सरकार। https://t.co/ZqCjEklFql",97,1.12507E+18,05-05-19 16:11,Twitter Media Studio,17908,4356
574,"One thing the Dynasty has loved doing is to showcase India as a helpless and poor land. 

Times have changed. 

We… https://t.co/9QIrV71Yb7",139,1.12507E+18,05-05-19 16:10,Twitter Media Studio,11586,3371
